,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
800,8329007430165668321,Who were the four aces in the military's most wanted deck of cards?,Who was the ace of spades in the US military's most-wanted playing cards during the 2003 invasion of Iraq?,Which suit’s ace are you interested in from the US military’s most-wanted playing cards in 2003?,Spades,Saddam Hussein
801,8329007430165668321,Who were the four aces in the military's most wanted deck of cards?,Who was the ace of clubs in the US military's most-wanted playing cards during the 2003 invasion of Iraq?,Which suit’s ace are you interested in from the US military’s most-wanted playing cards in 2003?,Clubs,Qusay; son of former Iraqi President Saddam Hussein; Qusay Saddam Hussein al-Tikriti; Qusay Hussein
802,8329007430165668321,Who were the four aces in the military's most wanted deck of cards?,Who was the ace of hearts in the US military's most-wanted playing cards during the 2003 invasion of Iraq?,Which suit’s ace are you interested in from the US military’s most-wanted playing cards in 2003?,Hearts,Uday; Uday Saddam Hussein al-Tikriti; eldest child of Saddam Hussein; Uday Hussein
803,8329007430165668321,Who were the four aces in the military's most wanted deck of cards?,Who was the ace of diamonds in the US military's most-wanted playing cards during the 2003 invasion of Iraq?,Which suit’s ace are you interested in from the US military’s most-wanted playing cards in 2003?,Diamonds,Saddam's presidential secretary; Abid Hamid Mahmud al-Tikriti
804,-5041675912423680164,Who sang i only think of you on two occasions?,Who sang I only think of you on two occasions in 1987?,"Would you like to know who sang it in 1987, 1997, or 1992?",1987,The Deele
805,-5041675912423680164,Who sang i only think of you on two occasions?,Who sang I Only Think of You on two occasions in 1997?,"Would you like to know who sang it in 1987, 1997, or 1992?",1997,The Whispers
806,-5041675912423680164,Who sang i only think of you on two occasions?,Who sang I only think of you on two occasions in 1992?,"Would you like to know who sang it in 1987, 1997, or 1992?",1992,Faye Wong
807,-6707358165174798879,Who played young tom riddle in harry potter?,Who plays young Tom Riddle in Harry Potter and the Chamber of Secrets?,"Are you interested in the actor who played Tom Riddle in Harry Potter and the Chamber of Secrets, the actor who played the child Tom Riddle in Harry Potter and the Half Blood Prince, or the actor who played teenage Tom Riddle in Harry Potter and the Half Blood Prince?",Chamber of Secrets,Christian Coulson
808,-6707358165174798879,Who played young tom riddle in harry potter?,Who plays the child version of Tom Riddle in Harry Potter and the Half Blood Prince?,"Are you interested in the actor who played Tom Riddle in Harry Potter and the Chamber of Secrets, the actor who played the child Tom Riddle in Harry Potter and the Half Blood Prince, or the actor who played teenage Tom Riddle in Harry Potter and the Half Blood Prince?",Half Blood Prince when he's a child,Hero Fiennes-Tiffin
809,-6707358165174798879,Who played young tom riddle in harry potter?,Who plays the teenage version of Tom Riddle in Harry Potter and the Half Blood Prince?,"Are you interested in the actor who played Tom Riddle in Harry Potter and the Chamber of Secrets, the actor who played the child Tom Riddle in Harry Potter and the Half Blood Prince, or the actor who played teenage Tom Riddle in Harry Potter and the Half Blood Prince?",The teenage version in Half Blood Prince,Frank Dillane
810,-4368128632644259508,Who got promoted to the premier league this year?,Who got promoted to the premier league in 2017?,"Would you like to know who got promoted to the Premier League in 2017, 2016, or 2015?",2017,"Newcastle United F.C.; Brighton; Newcastle United, Brighton & Hove Albion and Huddersfield Town; Brighton & Hove Albion F.C.; Brighton & Hove Albion Football Club; Newcastle United Football Club; Huddersfield Town Association Football Club; Huddersfield Town A.F.C."
811,-4368128632644259508,Who got promoted to the premier league this year?,Who got promoted to the premier league in 2016?,"Would you like to know who got promoted to the Premier League in 2017, 2016, or 2015?",2016,"Burnley F.C.; Middlesbrough F.C.; Hull City A.F.C.; Hull City Association Football Club; Middlesbrough Football Club; Burnley, Middlesbrough and Hull City; Burnley Football Club"
812,-4368128632644259508,Who got promoted to the premier league this year?,Who got promoted to the premier league in 2015?,"Would you like to know who got promoted to the Premier League in 2017, 2016, or 2015?",2015,"Norwich City Football Club; Norwich City F.C.; Watford F.C.; A.F.C. Bournemouth; The Canaries or City; Athletic Football Club BournemouthWatford Football Club; Bournemouth, Watford and Norwich City"
813,4129781894806059316,Who sings can you feel the love tonight in the movie the lion king?,"Who sings ""Can You Feel the Love Tonight"" in the movie The Lion King during the film?",Are you interested in the version during the film or during the closing credits?,I'm interested in version during the film.,"Kristle Edwards, Joseph Williams, Sally Dworsky, Nathan Lane, and Ernie Sabella"
814,4129781894806059316,Who sings can you feel the love tonight in the movie the lion king?,"Who sings ""Can You Feel the Love Tonight"" in the movie The Lion King during the closing credits?",Are you interested in the version during the film or during the closing credits?,I'm interested in version during the closing credits.,Elton John
815,-536561900476217586,Who played freda in dumb and dumber 2?,Who played Freda in the Second Dumb and Dumber movie?,Which movie are you interested in?,I'm interested in the Second Dumb and Dumber movie.,Julie Costello
816,-536561900476217586,Who played freda in dumb and dumber 2?,Who played Freda in Dumb and Dumber To?,Which movie are you interested in?,I'm interested in Dumb and Dumber To.,Kathleen Turner
817,4728745745779987213,Who is the current leader of opposition in uganda?,Who is the 9th Leader of Opposition in Uganda?,"Do you want to know the 7th, 8th, or 9th leader?",The 9th leader,Winnie Kiiza
818,4728745745779987213,Who is the current leader of opposition in uganda?,Who is the 8th Leader of Opposition in Uganda?,"Do you want to know the 7th, 8th, or 9th leader?",The 8th leader,Philip Wafula Oguttu
819,4728745745779987213,Who is the current leader of opposition in uganda?,Who is the 7th Leader of Opposition in Uganda?,"Do you want to know the 7th, 8th, or 9th leader?",The 7th leader,Nathan Nandala Mafabi
820,-6751507633059738963,Who's the guy that plays jeepers creepers?,Who plays the Creeper in Jeepers Creepers (2001 film)?,"Do you mean who plays the Creeper in the Jeepers Creepers 2001 film, in Jeepers Creepers 2, or in Jeepers Creepers 3?",in the Jeepers Creepers 2001 film,Jonathan Breck
821,-6751507633059738963,Who's the guy that plays jeepers creepers?,Who plays the Creeper in Jeepers Creepers 2?,"Do you mean who plays the Creeper in the Jeepers Creepers 2001 film, in Jeepers Creepers 2, or in Jeepers Creepers 3?",in Jeepers Creepers 2,Jonathan Breck
822,-6751507633059738963,Who's the guy that plays jeepers creepers?,Who plays the Creeper in Jeepers Creepers 3?,"Do you mean who plays the Creeper in the Jeepers Creepers 2001 film, in Jeepers Creepers 2, or in Jeepers Creepers 3?",in Jeepers Creepers 3,Jonathan Breck
823,-489092157278681694,Who's opening for bruno mars in montreal?,"Which artists open for bruno mars in the second north american leg of his 24K magic tour, which included the city of montreal?","Are you asking about the opening artists or DJ on his 24K Magic tour, or the openers on a specific leg of his Moonshine Jungle tour?",The opening artists on the 24K Magic tour,"Charlie Wilson, Ciara and Boyz II Men, among others"
824,-489092157278681694,Who's opening for bruno mars in montreal?,Which DJ opened for bruno mars in montreal during his 24K magic tour?,"Are you asking about the opening artists or DJ on his 24K Magic tour, or the openers on a specific leg of his Moonshine Jungle tour?",The opening DJ on the 24K Magic tour,Rashida Gonzalez Robinson; DJ Rashida
825,-489092157278681694,Who's opening for bruno mars in montreal?,Who's opening for bruno mars in montreal during leg 1 of The Moonshine Jungle Tour?,"Are you asking about the opening artists or DJ on his 24K Magic tour, or the openers on a specific leg of his Moonshine Jungle tour?",The opener for leg 1 of The Moonshine Jungle Tour,Elena Jane Goulding; Ellie Goulding
826,-489092157278681694,Who's opening for bruno mars in montreal?,Who's opening for bruno mars in montreal during leg 7 of The Moonshine Jungle Tour?,"Are you asking about the opening artists or DJ on his 24K Magic tour, or the openers on a specific leg of his Moonshine Jungle tour?",The opener for leg 7 of The Moonshine Jungle Tour,"Bebe Rexha; Bleta ""Bebe"" Rexha"
827,-3365247940379657408,Who sang where were you when i needed you?,Who sang Superwoman (Where Were You When I Needed You)?,"Would you like to know who sang the original, the 1973 cover, or the 1978 version?",The original,Stevie Wonder
828,-3365247940379657408,Who sang where were you when i needed you?,Who covered the song Superwoman (Where Were You When I Needed You) in 1973?,"Would you like to know who sang the original, the 1973 cover, or the 1978 version?",The 1973 cover,The Main Ingredient
829,-3365247940379657408,Who sang where were you when i needed you?,Who sang the song Superwoman (Where Were You When I Needed You) in 1978 for their album Sounds...and Stuff Like That?,"Would you like to know who sang the original, the 1973 cover, or the 1978 version?",The 1978 version,Quincy Jones and Patti Austin
830,5540214991941324708,When do harvey and sabrina get back together?,When is the first time that Harvey and Sabrina get back together?,Which time that they get back together are you interested in?,I'm interested in the first time they get back together.,Season 3
831,5540214991941324708,When do harvey and sabrina get back together?,When is the second time that Harvey and Sabrina get back together?,Which time that they get back together are you interested in?,I'm interested in the second time they get back together.,Season 4 Episode 9
832,5540214991941324708,When do harvey and sabrina get back together?,When is the third time that Harvey and Sabrina get back together?,Which time that they get back together are you interested in?,I'm interested in the third time they get back together.,Season 7 Episode 22
833,-1328411681987356463,When did the us first start using drones?,When did the us Navy first start experimenting with drones?,Do you want to know when drones were first used in service or by the Navy?,The US Navy.,1937
834,-1328411681987356463,When did the us first start using drones?,When did the us first start using drones in service?,Do you want to know when drones were first used in service or by the Navy?,First used in the service of the US.,1938
835,-1410035740927947060,When was the chickenpox vaccine introduced in the united states?,When was the chickenpox varicella vaccine introduced in the united states?,Which version of the chickenpox vaccine are you interested in?,I'm interested in the chickenpox varicella vaccine.,1995
836,-1410035740927947060,When was the chickenpox vaccine introduced in the united states?,When was the chickenpox combined MMRV vaccine introduced in the united states?,Which version of the chickenpox vaccine are you interested in?,I'm interested in the chickenpox combined MMRV vaccine.,2005
837,3514927622331925305,When was the great pacific garbage patch found?,When was the great pacific garbage patch found to exist by hypothesis?,Are you interested in when it was found to exist by hypothesis or in person?,I'm interested in when it was found to exist by hypothesis.,1988
838,3514927622331925305,When was the great pacific garbage patch found?,When was the great pacific garbage patch found to exist for the first time in person?,Are you interested in when it was found to exist by hypothesis or in person?,I'm interested in when it was found to exist in person.,1997
839,149690305019483912,What is the name of the matchmaker in fiddler?,"What is the name of the matchmaker character in fiddler on the roof, the 1964 musical?","Are you looking for the character's name in the 1964 musical, the character's name in the 1971 film, or the name of the actor who plays the character in the 1971 film?",The musical,Yente
840,149690305019483912,What is the name of the matchmaker in fiddler?,"What is the name of the matchmaker character in fiddler on the roof, the 1971 film?","Are you looking for the character's name in the 1964 musical, the character's name in the 1971 film, or the name of the actor who plays the character in the 1971 film?",The character in the movie,Yente
841,149690305019483912,What is the name of the matchmaker in fiddler?,"What is the name of the actor who portrays the matchmaker in fiddler on the roof, the 1971 film?","Are you looking for the character's name in the 1964 musical, the character's name in the 1971 film, or the name of the actor who plays the character in the 1971 film?",The actor in the movie,Molly Picon; Picon
842,1318219060606230480,When did the death penalty stop in the uk?,When was death penalty for murder suspended in the UK?,"Are you looking for when the death penalty was abolished in the UK, when the death penalty for murder was suspended in the UK, when the death penalty for murder was stopped permanently in the UK, or when the death penalty for murder was abolished in Northern Ireland?",When the death penalty for murder was suspended.,9 November 1965; 1965
843,1318219060606230480,When did the death penalty stop in the uk?,When was the death penalty for murder stopped permanently in the UK?,"Are you looking for when the death penalty was abolished in the UK, when the death penalty for murder was suspended in the UK, when the death penalty for murder was stopped permanently in the UK, or when the death penalty for murder was abolished in Northern Ireland?",When the death penalty for murder stopped permanently.,1969
844,1318219060606230480,When did the death penalty stop in the uk?,When was the death penalty for murder abolished in Northern Ireland?,"Are you looking for when the death penalty was abolished in the UK, when the death penalty for murder was suspended in the UK, when the death penalty for murder was stopped permanently in the UK, or when the death penalty for murder was abolished in Northern Ireland?",When it was abolished in Northern Ireland.,25 July 1973
845,1318219060606230480,When did the death penalty stop in the uk?,When was the death penalty abolished in the UK?,"Are you looking for when the death penalty was abolished in the UK, when the death penalty for murder was suspended in the UK, when the death penalty for murder was stopped permanently in the UK, or when the death penalty for murder was abolished in Northern Ireland?",When it was abolished in the UK.,31 July 1998
846,-5367144430852578737,When did the cabbage patch dolls come out?,"When did the cabbage patch dolls come out as measured by when Original Appalachian Artworks, Inc. signed an agreement to produce them?","What do you consider ""coming out""?","When Original Appalachian Artworks, Inc. signed an agreement to produce them.",August 1982
847,-5367144430852578737,When did the cabbage patch dolls come out?,When did the cabbage patch dolls come out as measured by when they were introduced at the International Toy Fair?,"What do you consider ""coming out""?",When they were introduced at the International Toy Fair.,1983
848,8657970742096423116,Where does the perks of being a wallflower take place?,Where does the novel The Perks of Being a Wallflower take place?,Are you interested in the film or the novel?,I'm interested in the film.,Pittsburgh suburb
849,8657970742096423116,Where does the perks of being a wallflower take place?,Where does the film The Perks of Being a Wallflower take place?,Are you interested in the film or the novel?,I'm interested in the novel.,"Pittsburgh, Pennsylvania"
850,4391065949393269381,When did pirates of the caribbean 2 come out?,When did Pirates of the Caribbean: Dead Man's Chest (film) release at the Disneyland Resort?,"Do you mean when the Pirates of the Caribbean: Dead Man's Chest film released at the Disneyland Resort, throughout the US, in NA, in the EU, or in JP?",at the Disneyland Resort,"June 24, 2006"
851,4391065949393269381,When did pirates of the caribbean 2 come out?,When did Pirates of the Caribbean: Dead Man's Chest (film) release throughout the US?,"Do you mean when the Pirates of the Caribbean: Dead Man's Chest film released at the Disneyland Resort, throughout the US, in NA, in the EU, or in JP?",throughout the US,"July 7, 2006"
852,4391065949393269381,When did pirates of the caribbean 2 come out?,When did Pirates of the Caribbean: Dead Man's Chest (video game) release in NA?,"Do you mean when the Pirates of the Caribbean: Dead Man's Chest film released at the Disneyland Resort, throughout the US, in NA, in the EU, or in JP?",in NA,"June 27, 2006"
853,4391065949393269381,When did pirates of the caribbean 2 come out?,When did Pirates of the Caribbean: Dead Man's Chest (video game) release in EU?,"Do you mean when the Pirates of the Caribbean: Dead Man's Chest film released at the Disneyland Resort, throughout the US, in NA, in the EU, or in JP?",in EU,"July 7, 2006"
854,4391065949393269381,When did pirates of the caribbean 2 come out?,When did Pirates of the Caribbean: Dead Man's Chest (video game) release in JP?,"Do you mean when the Pirates of the Caribbean: Dead Man's Chest film released at the Disneyland Resort, throughout the US, in NA, in the EU, or in JP?",in JP,"August 24, 2006"
855,8033165278091535801,When did the movie dirty dancing come out?,When did the movie dirty dancing come out at Cannes?,Are you asking when the movie Dirty Dancing came out at Cannes or in the United States?,at Cannes,"May 12, 1987"
856,8033165278091535801,When did the movie dirty dancing come out?,When did the movie dirty dancing come out in the United States?,Are you asking when the movie Dirty Dancing came out at Cannes or in the United States?,in the United States,"August 21, 1987"
857,4467124663752101822,Who wrote why dont we do it in the road?,"Who wrote the song ""Why Don't We Do It in the Road?""?","Are you interested in who actually wrote the song, or is credited for writing the song?",I'm interested in who actually wrote the song.,Paul McCartney
858,4467124663752101822,Who wrote why dont we do it in the road?,"Who is credited for writing the song ""Why Don't We Do It in the Road?""?","Are you interested in who actually wrote the song, or is credited for writing the song?",I'm interested in who is credited for writing the song.,Lennon–McCartney
859,4712499287425562974,What city is home for the golden state warriors?,What city is home for the golden state warriors in 1946?,Are you interested in their home currently or in 1946?,I'm interested in their home in 1946.,"Philadelphia; Philadelphia, Pennsylvania; Philly"
860,4712499287425562974,What city is home for the golden state warriors?,What city is home for the golden state warriors currently?,Are you interested in their home currently or in 1946?,I'm interested in their home currently.,"Frisco; San Francisco; City and County of San Francisco; San Francisco, California; San Fran; SF"
861,-2575867972276361910,When was season 7 of game of thrones released?,"When was season 7, episode 1 of game of thrones released through simulcast?","Are you interested in the first or final episode of the season, and through simulcast or screened at a premiere?","I'm interested in the first episode, released through simulcast.","July 16, 2017"
862,-2575867972276361910,When was season 7 of game of thrones released?,When was the final episode of season 7 of game of thrones available through simulcast?,"Are you interested in the first or final episode of the season, and through simulcast or screened at a premiere?","I'm interested in the final episode, released through simulcast.","August 27, 2017"
863,-2575867972276361910,When was season 7 of game of thrones released?,"When was season 7,  episode 1 of game of thrones screened at a premiere in Los Angeles?","Are you interested in the first or final episode of the season, and through simulcast or screened at a premiere?","I'm interested in the first episode, screened at a premiere.","July 12, 2017"
864,5648991562862896072,Who owns so you think you can dance?,Who created So You Think You Can Dance?,"Are you asking about the people, companies, or network?",I'm interested in the people.,Simon Fuller and Nigel Lythgoe
865,5648991562862896072,Who owns so you think you can dance?,What companies produce So You Think You Can Dance?,"Are you asking about the people, companies, or network?",I'm interested in the companies.,19 Entertainment and Dick Clark Productions
866,5648991562862896072,Who owns so you think you can dance?,What Network airs So You Think You Can Dance?,"Are you asking about the people, companies, or network?",I'm interested in the network.,Fox
867,-1309251231578859471,What was the impact of the treaty of utrecht?,What was the impact of the peace of utrecht?,Are you interested in a specific treaty or the peace in general?,I'm interested in the peace in general.,ended the War of the Spanish Succession
868,-1309251231578859471,What was the impact of the treaty of utrecht?,What was the impact of the treaty of utrecht of 1474?,Are you interested in a specific treaty or the peace in general?,I'm interested in the treaty of utrecht of 1474.,ended the Anglo-Hanseatic War
869,-1309251231578859471,What was the impact of the treaty of utrecht?,What was the impact of the treaty of utrecht of 1579?,Are you interested in a specific treaty or the peace in general?,I'm interested in the treaty of utrecht of 1579.,unified the northern provinces of the Netherlands
870,-3652456346988708411,Who are the members of the band gorillaz?,Who are the current virtual members of the band Gorillaz?,Would you like to know the current virtual or non-virtual members of the band Gorillaz?,virtual,"2-D, Murdoc Niccals, Russel Hobbs, Noodle"
871,-3652456346988708411,Who are the members of the band gorillaz?,Who are the current non-virtual members of the band Gorillaz?,Would you like to know the current virtual or non-virtual members of the band Gorillaz?,non-virtual,"Damon Albarn, Jamie Hewlett, Remi Kabaka Jr., Stephen Sedgwick"
872,-4912995055471259963,Most total goals in a premier league season?,Most total goals in a premier league season by a team?,Would you like to know which team or which player made the most total goals in a premier league season?,which team,106
873,-4912995055471259963,Most total goals in a premier league season?,Most total goals in a premier league season by a player?,Would you like to know which team or which player made the most total goals in a premier league season?,which player,34
874,-8127735904782118219,Who played eddie on the tv show frasier?,Who originally played eddie on the tv show frasier?,Do you mean who originally played Eddie or who played Eddie after Moose on the TV show Frasier?,Who originally played Eddie,Moose
875,-8127735904782118219,Who played eddie on the tv show frasier?,Who played eddie on the tv show frasier after Moose?,Do you mean who originally played Eddie or who played Eddie after Moose on the TV show Frasier?,Who played Eddie after Moose,Enzo
876,-3959359795500047496,When do the new data protection laws come into effect?,When does the General Data Protection Regulation passed by the EU in 2016 come into effect?,Which law are you interested in?,I'm interested in the General Data Protection Regulation.,25 May 2018
877,-3959359795500047496,When do the new data protection laws come into effect?,When do the Data protection Act 2018 of the UK come into effect?,Which law are you interested in?,I'm interested in the Data protection Act of 2018.,May 2018
878,-3959359795500047496,When do the new data protection laws come into effect?,When does the California Consumer Privacy Act of 2018 come into effect?,Which law are you interested in?,I'm interested in the California Consumer Privacy Act of 2018.,"January 1, 2020"
879,-3959359795500047496,When do the new data protection laws come into effect?,When do the new amendments to the Swiss Federal Data Protection Act and the Swiss Federal Data Protection Ordinance come into effect?,Which law are you interested in?,I'm interested in the new amendments to the Swiss Federal Data Protection Act and the Swiss Federal Data Protection Ordinance.,"January 1, 2008"
880,4764693289913968006,Who has scored the most goals in international soccer?,What man has scored the most goals in international soccer?,Are you interested in a male or female soccer player?,Male soccer players.,Ali Daei
881,4764693289913968006,Who has scored the most goals in international soccer?,What woman has scored the most goals in international soccer?,Are you interested in a male or female soccer player?,Female soccer players.,Christine Sinclair
882,-1104608212948919154,When did blood transfusions become safer and why?,What year did blood transfusions become safer thanks to Karl Landsteiner?,"Do you mean what year blood transfusions became safer thanks to Karl Landsteiner, what event caused them to be safer in 1901, what year the Rhesus blood system discovery made them safer, or what event caused them to be safer in 1937-1940?",What year blood transfusions became safer thanks to Karl Landsteiner,1901
883,-1104608212948919154,When did blood transfusions become safer and why?,With what event did blood transfusions become safer and why in 1901?,"Do you mean what year blood transfusions became safer thanks to Karl Landsteiner, what event caused them to be safer in 1901, what year the Rhesus blood system discovery made them safer, or what event caused them to be safer in 1937-1940?",What event caused blood transfusions to be safer in 1901,"Karl Landsteiner discovered three human blood groups (O, A, and B)"
884,-1104608212948919154,When did blood transfusions become safer and why?,What year did blood transfusions become safer thanks to Rhesus blood system discovery?,"Do you mean what year blood transfusions became safer thanks to Karl Landsteiner, what event caused them to be safer in 1901, what year the Rhesus blood system discovery made them safer, or what event caused them to be safer in 1937-1940?",What year the Rhesus blood system discovery made blood transfusions safer,1937–40
885,-1104608212948919154,When did blood transfusions become safer and why?,With what ?event did blood transfusions become safer and why in 1937-1940?,"Do you mean what year blood transfusions became safer thanks to Karl Landsteiner, what event caused them to be safer in 1901, what year the Rhesus blood system discovery made them safer, or what event caused them to be safer in 1937-1940?",What event caused blood transfusions to be safer in 1937-1940,"discovered the Rhesus blood group system, which was found to be the cause of the majority of transfusion reactions"
886,1517060875644077408,The truth about the harry quebert affair tv show release date?,When were 35 minutes of scenes of The Truth about the Harry Quebert affair TV show released?,Would you like to know when the 35 minutes of scenes or the full TV show for The Truth about the Harry Quebert Affair was released?,35 minutes of scenes,"April 6, 2018"
887,1517060875644077408,The truth about the harry quebert affair tv show release date?,What was the full release date for The Truth about the Harry Quebert Affair tv show?,Would you like to know when the 35 minutes of scenes or the full TV show for The Truth about the Harry Quebert Affair was released?,The full release date,"September 4, 2018"
888,-3791728600441854233,Where in the bible does it talk about the golden rule?,Where in the new testament of the bible does Jesus talk about the golden rule?,"Which version of the bible are you interested in, and talking by anyone in particular?",I'm interested in when Jesus talks about it in the new testament.,Matthew 7:12 and Luke 6:31; Matthew 7:12; Luke 6:31
889,-3791728600441854233,Where in the bible does it talk about the golden rule?,Where in the old testament of the bible does it talk about the golden rule?,"Which version of the bible are you interested in, and talking by anyone in particular?","I'm interested in the old testament, no one in particular.",Leviticus 19:18 and Leviticus 19:34; Leviticus 19:18; Leviticus 19:34
890,-3791728600441854233,Where in the bible does it talk about the golden rule?,Where in the deuterocanonial books of the bible does it talk about the golden rule?,"Which version of the bible are you interested in, and talking by anyone in particular?","I'm interested in the deuterocanonial books, no one in particular.",Sirach 31:15; Tobit 4:15 and Sirach 31:15; Tobit 4:15
891,-3791728600441854233,Where in the bible does it talk about the golden rule?,Where in the new testament of the bible does Paul talk about the golden rule?,"Which version of the bible are you interested in, and talking by anyone in particular?",I'm interested in when Paul talks about it in the new testament.,Galatians 5:14
892,-4286155117006218583,Who sings i need a hero in footloose?,Who sang I need a hero in the Footloose movie?,"Do you mean who sings I Need A Hero in the Footloose movie, which characters sing it in the musical, or which singers perform it in the musical?",who sings it in the Footloose movie,Bonnie Tyler
893,-4286155117006218583,Who sings i need a hero in footloose?,Which characters sing I need a hero in the footloose musical?,"Do you mean who sings I Need A Hero in the Footloose movie, which characters sing it in the musical, or which singers perform it in the musical?",which characters sing it in the musical,"Ariel, Rusty, Urleen, Wendy Jo, and the Girls"
894,-4286155117006218583,Who sings i need a hero in footloose?,Which singers sing I need a hero in the footloose musical?,"Do you mean who sings I Need A Hero in the Footloose movie, which characters sing it in the musical, or which singers perform it in the musical?",which singers perform it in the musical,"Jennifer Laura Thompson, Rosalind Brown, and Stacy Francis"
895,-5298328847141432806,Who has won the second most nba championships?,Which player has won the 2nd most NBA championships?,"Do you mean which player, which team, or which head coach has won the 2nd most NBA championships?",which player,Sam Jones
896,-5298328847141432806,Who has won the second most nba championships?,Which team has won the 2nd most NBA championships?,"Do you mean which player, which team, or which head coach has won the 2nd most NBA championships?",which team,Los Angeles Lakers
897,-5298328847141432806,Who has won the second most nba championships?,Which head coach has won the 2nd most NBA championships?,"Do you mean which player, which team, or which head coach has won the 2nd most NBA championships?",which head coach,Red Auerbach
898,-9132370722133722982,Who won the ncaa mens basketball championship in 2016?,Who won the NCAA Division 1 men's basketball championship in 2016?,"Do you want to know who won the NCAA Division 1, Division 2 or Division 3 Men's Basketball Championship in 2016?",Division 1.,Villanova Wildcats
899,-9132370722133722982,Who won the ncaa mens basketball championship in 2016?,Who won the NCAA Division 2 men's basketball championship in 2016?,"Do you want to know who won the NCAA Division 1, Division 2 or Division 3 Men's Basketball Championship in 2016?",Division 2.,Augustana Vikings
900,-9132370722133722982,Who won the ncaa mens basketball championship in 2016?,Who won the NCAA Division 3 men's basketball championship in 2016?,"Do you want to know who won the NCAA Division 1, Division 2 or Division 3 Men's Basketball Championship in 2016?",Division 3.,St. Thomas Tommies
901,-734351787779911925,When did michigan last win the final four?,When did Michigan State last win the NCAA Final Four?,Are you asking when Michigan State or the Michigan Wolverines last won in the NCAA final four?,Michigan State,2000
902,-734351787779911925,When did michigan last win the final four?,When did the Michigan Wolverines last win the NCAA Final Four?,Are you asking when Michigan State or the Michigan Wolverines last won in the NCAA final four?,The Michigan Wolverines,1989
903,-4689146801806513551,What is the population of spanish speakers in the u.s?,How many Spanish speakers were there in the US as of 2015?,As of which year are you interested in?,As of 2015.,41 million
904,-4689146801806513551,What is the population of spanish speakers in the u.s?,How many Spanish speakers were there in the US as of 2010?,As of which year are you interested in?,As of 2010.,37 million
905,-4689146801806513551,What is the population of spanish speakers in the u.s?,How many Spanish speakers were there in the US as of 2000?,As of which year are you interested in?,As of 2000.,28.1 million
906,5139240208727811835,Who won the money in the bank 2017?,Who won the men's money in the bank 2017?,Would you like to know who won the men's or women's money in the bank 2017?,men's,King Corbin; Baron Corbin; Thomas Pestock
907,5139240208727811835,Who won the money in the bank 2017?,Who won the women's money in the bank 2017?,Would you like to know who won the men's or women's money in the bank 2017?,women's,Leah Van Dale; Carmella
908,-5187934608004567169,What is the new tallest building in san francisco?,What is the new tallest building in san francisco in 1972?,"Do you want to know the new tallest building in san francisco in 1972, 1969 or 1967?",In 1972.,Transamerica Pyramid
909,-5187934608004567169,What is the new tallest building in san francisco?,What is the new tallest building in san francisco in 1969?,"Do you want to know the new tallest building in san francisco in 1972, 1969 or 1967?",In 1969.,555 California Street
910,-5187934608004567169,What is the new tallest building in san francisco?,What is the new tallest building in san francisco in 1967?,"Do you want to know the new tallest building in san francisco in 1972, 1969 or 1967?",In 1967.,44 Montgomery Street
911,2499525239333011689,Who owns the rights to masters of the universe?,Who owns the masters of the universe media franchise?,"Are you asking about the franchise or reboot film, and original or current owner?",I'm asking about the current owner of the franchise.,Mattel
912,2499525239333011689,Who owns the rights to masters of the universe?,Who took over the right to the masters of the universe reboot film in 2009?,"Are you asking about the franchise or reboot film, and original or current owner?",I'm asking about the current owner of the reboot film.,Sony; Sony Corporation
913,2499525239333011689,Who owns the rights to masters of the universe?,Who originally owned the right to the masters of the universe reboot film?,"Are you asking about the franchise or reboot film, and original or current owner?",I'm asking about the original owner of the reboot film.,Warner Bros. Entertainment Inc.; Warner Bros.; WB
914,-1581744565612394421,What colour is the fire fighting chief officers helmet?,"Generally, what color are fire fighting watch managers' and above helmets in Britain?",Which ranking officer are you interested in?,I'm interested in watch managers' and above.,white
915,-1581744565612394421,What colour is the fire fighting chief officers helmet?,"Generally, what color are fire fighting captains' helmets in Canada?",Which ranking officer are you interested in?,I'm interested in captains.,red
916,-1581744565612394421,What colour is the fire fighting chief officers helmet?,"Generally, what color are fire fighting senior command officers' helmets in Canada?",Which ranking officer are you interested in?,I'm interested in senior command officers.,white
917,-1581744565612394421,What colour is the fire fighting chief officers helmet?,"Generally, what color are fire fighting company officers' helmets in the US?",Which ranking officer are you interested in?,I'm interested in company officers.,red
918,-1581744565612394421,What colour is the fire fighting chief officers helmet?,"Generally, what color are fire fighting chief officers' helmets in the US?",Which ranking officer are you interested in?,I'm interested in chief officers.,white
919,-5745718462107391224,What year is outlander season 3 set in?,"What year is outlander season 3, episode 1 set in when Claire is in her present?","Different parts of the season are set in different years. In parts of season 3, episode 1, Claire is in the present, and in some parts characters are in the past. Season 3, episode 5 is set in different times for Roger and for Claire in the past. Which part are you looking for?",Claire in the present in the first episode.,1948
920,-5745718462107391224,What year is outlander season 3 set in?,"What year is outlander season 3, episode 1 set in when characters are in the past?","Different parts of the season are set in different years. In parts of season 3, episode 1, Claire is in the present, and in some parts characters are in the past. Season 3, episode 5 is set in different times for Roger and for Claire in the past. Which part are you looking for?",Episode 1 in the past.,1746
